priority,group,identity,path,top_issue,issues
1,genuine,1,genuine\1\20260223_113338.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,1,genuine\1\20260223_113345.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,12,genuine\12\20260223_115156.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,2,genuine\2\20260223_113735.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,2,genuine\2\20260223_113739.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,3,genuine\3\20260223_114005.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,6,genuine\6\20260223_114438.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,6,genuine\6\20260223_114441.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,8,genuine\8\20260223_114711.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,8,genuine\8\20260223_114715.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,1,known\1\20260223_113151.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,1,known\1\20260223_113156.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,11,known\11\20260223_115030.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,12,known\12\20260223_115134.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,2,known\2\20260223_113703.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,2,known\2\20260223_113720.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,2,known\2\20260223_113724.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,3,known\3\20260223_113923.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,3,known\3\20260223_113931.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,3,known\3\20260223_113940.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,5,known\5\20260223_114136.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,8,known\8\20260223_114656.jpg,sin_rostro_detectado,sin_rostro_detectado
4,known,7,known\7\20260223_114615.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
5,impostor,persona_001,impostor\persona_001\20260223_115256.jpg,rostro_area_baja,rostro_area_baja
